,index,table_title,table_context,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
0,first,List of Mongrels episodes,# Title,comparee,#,what,title,#,#,least,what is the name of the first episode ?
1,last,List of Mongrels episodes,# Celebrity guest(s),comparee,position,who,celebrity guest(s),position,#,most,who was the last celebrity guest in the 2010 season ?
2,least,Daytime Emmy Award,Air date,comparee,#,which,air date,#,airing,least,which airing had the least number of viewers ?
3,most,Daytime Emmy Award,Network,comparee,#,which,network,#,network,most,which network has the most airings ?
4,#,2011 Arkansas Razorbacks football team,Date,comparee,attendence,what,date,attendence,#,-,what is the difference in attendance between november 5 and november 25
5,largest,2011 Arkansas Razorbacks football team,Date Time Opponent# Rank# Site TV Result Attendance,comparee,attendence,what,attendence,attendence,#,most,what is the largest attendance on the chart
6,first,2011 Arkansas Razorbacks football team,Date Time Opponent# Rank# Site TV Result Attendance,comparee,position,what,opponent,position,#,least,what is the first game listed on the schedule ?
7,largest,2011 Arkansas Razorbacks football team,Result,comparee,points,what,result,points,#,most,what is he largest points scored in one game ?
8,most,2011 Arkansas Razorbacks football team,Date Time Opponent# Rank# Site TV Result Attendance,comparee,#,which,nan,#,game,most,which game at home had the most attendance ?
9,top,2011 Arkansas Razorbacks football team,Result,comparee,position,what,result,position,#,least,what is the top result on the chart
10,more,2011–12 Costa Rican Primera División season,Team Manager City Stadium Capacity,index,#,are,nan,#,#,more,are more managers from costa rica or brazil ?
11,more,2011–12 Costa Rican Primera División season,City Capacity,difference,capacity,how many,city,capacity,#,more,how many more people can sit in the alajuela's stadium than puntarenas ?
12,least,2011–12 Costa Rican Primera División season,Stadium Capacity,comparee,capacity,what,stadium,capacity,stadium,least,what stadium can seat the least number of people ?
13,most,2011–12 Costa Rican Primera División season,Capacity,comparee,capacity,what,capacity,capacity,#,most,what is the most amount of people that can attend a deportivo saprissa game in ricardo saprissa ?
14,higher,List of attendance figures at anime conventions,Name,comparee,attended,which,name,attended,#,more,"which was the higher attended event in 2006, animazement or animethon ?"
15,first,List of attendance figures at anime conventions,Name,comparee,attendance figure in it's first known year,which,name,attendance figure in it's first known year,convention,least,which convention had the top attendance figure in it's first known year ?
16,most,List of attendance figures at anime conventions,Country,comparee,#,which,nan,#,country,most,which country has the most anime conventions ?
17,first,List of attendance figures at anime conventions,Name,comparee,first held,what,name,first held,#,least,what was the first anime convention name held in canada ?
18,last,List of attendance figures at anime conventions,Name First\nheld Country Earliest attendance figure known 1998 attendance 2000 attendance 2002 Attendance 2004 attendance 2006 attendance 2008 attendance 2010 attendance 2012 Attendance,comparee,#,what,nan,#,#,most,what was the last year that animefest had a known figure of attendance ?
19,#,Demographics of Alaska,By race White Black AIAN* Asian NHPI*,comparee,percentage between whites,what,first row columns,percentage between whites,#,-1,what is the difference in percentage between whites in the 2000 population and whites in the 2005 population ?
20,less,Demographics of Alaska,By race White Black AIAN* Asian NHPI*,index,#,did,first row columns,#,#,less,did the black population grow more or less than the white population (as a percent of total population) ?
21,less,Demographics of Alaska,By race White Black AIAN* Asian NHPI*,index,#,was,first row columns,#,#,less,was the asian population in 2005 more or less than it was in 2000 ?
22,greatest,Demographics of Alaska,By race White Black AIAN* Asian NHPI*,comparee,#,which,first row columns,#,hispanic,most,which hispanic population had the greatest growth from 2000 to 2005 ?
23,most,Demographics of Alaska,By race White Black AIAN* Asian NHPI*,comparee,#,which,first row columns,#,group,most,which group had the most percent of total population in 2005 ?
24,#,Crown entity,Responsible Minister(s) Crown Entities Monitoring Department(s) Category / Type Empowering Legislation,comparee,#,#,nan,#,#,nan,has the earthquake commission or the charities commission been around longer ?
25,last,Crown entity,Responsible Minister(s) Crown Entities Monitoring Department(s) Category / Type Empowering Legislation,comparee,#,who,nan,#,#,most,who is listed as the last responsible mister(s) on this chart ?
26,#,Crown entity,Responsible Minister(s) Crown Entities Monitoring Department(s) Category / Type Empowering Legislation,comparee,#,which,nan,#,monitoring,nan,which monitoring department is listed the most ?
27,top,Crown entity,Responsible Minister(s) Crown Entities Monitoring Department(s) Category / Type Empowering Legislation,comparee,#,which,nan,#,responsible,least,which responsible minister has the top number of empowering legislations ?
28,largest,Rizal,City/Municipality,comparee,area,what,city/municipality,area,#,most,what is the largest city in rizal in terms of area ?
29,most,Rizal,City/Municipality,comparee, barangays,what,city/municipality, barangays,city,most,what city has the most barangays ?
30,largest,Rizal,City/Municipality,comparee,area,which,city/municipality,area,municipality,most,which municipality has the largest area ?
31,first,List of flag bearers for Samoa at the Olympics,# Event Year Flag bearer,comparee,event year,who,flag bearer,event year,#,least,who was the first samoan flag bearer at the olympic games ?
32,first,List of flag bearers for Samoa at the Olympics,# Event Year Flag bearer,comparee,event year,who,flag bearer,event year,#,least,who was the first flag bearer ?
33,latest,List of flag bearers for Samoa at the Olympics,# Event Year Flag bearer,comparee,event year,who,flag bearer,event year,#,most,who was the latest athlete to bear the samoan flag at the olympic games ?
34,more,ASKÖ Pasching,Season,difference,home victories,how many,season,home victories,#,more,how many more home victories did this team have in the 2004/2005 season than in the 2003 season ?
35,#,ASKÖ Pasching,Season Competition Round Club Home Away Aggregate,comparee,#,what,nan,#,#,nan,what is the difference in the amount of home games won versus home games lost for werder bremen ?
36,first,ASKÖ Pasching,Club,comparee,position,what,club,position,#,least,what is the first club listed in the chart ?
37,most,ASKÖ Pasching,Aggregate,comparee,aggregate score,what,aggregate,aggregate score,#,most,what was the most aggregate score in germany ?
38,more,Kazakhstan,MISC Ethnicity Islam,comparee,islam,which,ethnicity,islam,ethnicity,more,which ethnicity has more followers of islam: tatar or tajik ?
39,more,Kazakhstan,Ethnicity,index,christian,are,ethnicity,christian,#,more,are there more christian russians or ukrainians in kazakhstan ?
40,#,Kazakhstan,Ethnicity,comparee,buddists,what,ethnicity,buddists,#,-1,what is the difference in percentage between korean buddists and german buddists ?
41,most,Kazakhstan,Ethnicity,comparee,buddists,which,ethnicity,buddists,ethnicity,most,which ethnicity has the most buddhists in kazakhstan ?
42,first,Kazakhstan,Ethnicity,comparee,position,which,ethnicity,position,ethnicity,least,which ethnicity is first on the chart
43,least,Kazakhstan,MISC Ethnicity Islam,comparee,islam,which,ethnicity,islam,ethnicity,least,which ethnicity has the least percentage for islam
44,most,Kazakhstan,MISC Ethnicity Islam,comparee,islam,which,ethnicity,islam,ethnicity,most,which ethnicity has the most islam professions of faith ?
45,more,FINA Diving World Series,DURATION Year,comparee,venues,which,year,venues,year,more,"which year had more venues, 2007 or 2012 ?"
46,last,FINA Diving World Series,LOCATION LOCATION LOCATION 1st Venue 4th Venue 4th Venue,comparee,#,where,nan,#,tijuana,most,what was the last year where tijuana was a venue ?
47,most,FINA Diving World Series,Year 1st Venue 2nd Venue 3rd Venue 4th Venue 5th Venue 6th Venue,comparee,#,what,nan,#,years,most,what years had the most venues ?
48,more,"Argentine legislative election, 1930",Party/Electoral Alliance Seats Change Votes %,comparee,#,which,nan,#,party,more,which party gained more seats: the radical civic union or the democratic progressive party ?
49,last,"Argentine legislative election, 1930",Party/Electoral Alliance,comparee,position,which,party/electoral alliance,position,party,most,which party is last on the chart
50,most,"Argentine legislative election, 1930",Party/Electoral Alliance Seats,comparee,seats,which,party/electoral alliance,seats,party,most,which party hold the most number of seats ?
