,index,query_type,standard,question_word,comparee_type,parameter,comparee,answer,question
0,first,comparee,#,what,title,#,#,least,what is the name of the first episode ?
1,last,comparee,position,who,celebrity guest(s),position,#,most,who was the last celebrity guest in the 2010 season ?
2,least,comparee,#,which,air date,#,airing,least,which airing had the least number of viewers ?
3,most,comparee,#,which,network,#,network,most,which network has the most airings ?
4,#,comparee,attendence,what,date,attendence,#,-,what is the difference in attendance between november 5 and november 25
5,largest,comparee,attendence,what,attendence,attendence,#,most,what is the largest attendance on the chart
6,first,comparee,position,what,opponent,position,#,least,what is the first game listed on the schedule ?
7,largest,comparee,points,what,result,points,#,most,what is he largest points scored in one game ?
8,most,comparee,#,which,nan,#,game,most,which game at home had the most attendance ?
9,top,comparee,position,what,result,position,#,least,what is the top result on the chart
10,more,index,#,are,nan,#,#,more,are more managers from costa rica or brazil ?
11,more,difference,capacity,how many,city,capacity,#,more,how many more people can sit in the alajuela's stadium than puntarenas ?
12,least,comparee,capacity,what,stadium,capacity,stadium,least,what stadium can seat the least number of people ?
13,most,comparee,capacity,what,capacity,capacity,#,most,what is the most amount of people that can attend a deportivo saprissa game in ricardo saprissa ?
14,higher,comparee,attended,which,name,attended,#,more,"which was the higher attended event in 2006, animazement or animethon ?"
15,first,comparee,attendance figure in it's first known year,which,name,attendance figure in it's first known year,convention,least,which convention had the top attendance figure in it's first known year ?
16,most,comparee,#,which,nan,#,country,most,which country has the most anime conventions ?
17,first,comparee,first held,what,name,first held,#,least,what was the first anime convention name held in canada ?
18,last,comparee,#,what,nan,#,#,most,what was the last year that animefest had a known figure of attendance ?
19,#,comparee,percentage between whites,what,first row columns,percentage between whites,#,-1,what is the difference in percentage between whites in the 2000 population and whites in the 2005 population ?
20,less,index,#,did,first row columns,#,#,less,did the black population grow more or less than the white population (as a percent of total population) ?
21,less,index,#,was,first row columns,#,#,less,was the asian population in 2005 more or less than it was in 2000 ?
22,greatest,comparee,#,which,first row columns,#,hispanic,most,which hispanic population had the greatest growth from 2000 to 2005 ?
23,most,comparee,#,which,first row columns,#,group,most,which group had the most percent of total population in 2005 ?
24,#,comparee,#,#,nan,#,#,nan,has the earthquake commission or the charities commission been around longer ?
25,last,comparee,#,who,nan,#,#,most,who is listed as the last responsible mister(s) on this chart ?
26,#,comparee,#,which,nan,#,monitoring,nan,which monitoring department is listed the most ?
27,top,comparee,#,which,nan,#,responsible,least,which responsible minister has the top number of empowering legislations ?
28,largest,comparee,area,what,city/municipality,area,#,most,what is the largest city in rizal in terms of area ?
29,most,comparee, barangays,what,city/municipality, barangays,city,most,what city has the most barangays ?
30,largest,comparee,area,which,city/municipality,area,municipality,most,which municipality has the largest area ?
31,first,comparee,event year,who,flag bearer,event year,#,least,who was the first samoan flag bearer at the olympic games ?
32,first,comparee,event year,who,flag bearer,event year,#,least,who was the first flag bearer ?
33,latest,comparee,event year,who,flag bearer,event year,#,most,who was the latest athlete to bear the samoan flag at the olympic games ?
34,more,difference,home victories,how many,season,home victories,#,more,how many more home victories did this team have in the 2004/2005 season than in the 2003 season ?
35,#,comparee,#,what,nan,#,#,nan,what is the difference in the amount of home games won versus home games lost for werder bremen ?
36,first,comparee,position,what,club,position,#,least,what is the first club listed in the chart ?
37,most,comparee,aggregate score,what,aggregate,aggregate score,#,most,what was the most aggregate score in germany ?
38,more,comparee,islam,which,ethnicity,islam,ethnicity,more,which ethnicity has more followers of islam: tatar or tajik ?
39,more,index,christian,are,ethnicity,christian,#,more,are there more christian russians or ukrainians in kazakhstan ?
40,#,comparee,buddists,what,ethnicity,buddists,#,-1,what is the difference in percentage between korean buddists and german buddists ?
41,most,comparee,buddists,which,ethnicity,buddists,ethnicity,most,which ethnicity has the most buddhists in kazakhstan ?
42,first,comparee,position,which,ethnicity,position,ethnicity,least,which ethnicity is first on the chart
43,least,comparee,islam,which,ethnicity,islam,ethnicity,least,which ethnicity has the least percentage for islam
44,most,comparee,islam,which,ethnicity,islam,ethnicity,most,which ethnicity has the most islam professions of faith ?
45,more,comparee,venues,which,year,venues,year,more,"which year had more venues, 2007 or 2012 ?"
46,last,comparee,#,where,nan,#,tijuana,most,what was the last year where tijuana was a venue ?
47,most,comparee,#,what,nan,#,years,most,what years had the most venues ?
48,more,comparee,#,which,nan,#,party,more,which party gained more seats: the radical civic union or the democratic progressive party ?
49,last,comparee,position,which,party/electoral alliance,position,party,most,which party is last on the chart
50,most,comparee,seats,which,party/electoral alliance,seats,party,most,which party hold the most number of seats ?
51,most,comparee,vote,which,party/electoral alliance,vote,one,most,which one has the most vote
52,least,comparee,vote,which,party/electoral alliance,vote,one,least,which one has the least vote
53,more,index,#,were,nan,#,#,more,were more episodes written by michael piller & bill dial or by bob shane & ron friedman ?
54,first,comparee,broadcast date,which,title,broadcast date,episode,least,"which episode aired first--""birth of a legend"" or ""skeletons in the closest"" ?"
55,first,comparee,position,what,title,position,#,least,what was the name of the first episode ?
56,most,comparee,elevation (mountain station),which,name,elevation (mountain station),one,most,which one has the most elevation (mountain station) on the chart
57,last,comparee,construction year,what,name,construction year,name,most,what name was in the last construction year ?
58,oldest,comparee,#,which,name,#,cable,most,which cable car is the oldest ?
59,first,comparee,position,what,year,position,#,least,what is the first year ?
